Date;Pdc A [W];Pdc B [W];Pdc [W];Udc A [V];Udc B [V];Pac 1 [W];Pac 2 [W];Pac 3 [W];Pac [W];Uac 1 [V];Uac 2 [V];Uac 3 [V];Temp [°C];Temp2 [°C];Temp bat [°C];Pbat [W];Ubat [V];SOC [%];SOC targ [%];Pload [W];Pgrid feed [W];Pgrid load [W];Pgrid [W];Pext [W]
27.03.2024 01:30;5.6E-45;5.6E-45;1.1E-44;34.862988;27.684574;42.561314;42.4199;42.49842;127.47964;235.40913;235.05162;235.49658;22.828506;23.301725;20.7;140.469;398.52142;78.78254;97.0;126.75887;0.9327182;0.22223336;-0.71048486;0.0
27.03.2024 01:35;5.6E-45;5.6E-45;1.1E-44;34.903095;27.72671;40.92159;40.791782;40.887936;122.6013;235.1852;234.82591;235.45143;22.828506;23.296747;20.683334;136.65744;398.48328;78.64934;97.0;122.59948;0.46549484;0.47250596;0.0070111156;0.0
27.03.2024 01:40;5.6E-45;5.6E-45;1.1E-44;34.56942;27.524855;38.68953;38.594234;38.69379;115.977554;235.11664;234.47992;235.21541;22.818314;23.286797;20.683332;130.84122;398.48328;78.520935;97.0;115.49786;0.74614406;0.1822848;-0.5638592;0.0
27.03.2024 01:45;5.6E-45;5.6E-45;1.1E-44;34.64406;27.672459;35.160805;35.05313;35.11157;105.3255;235.10405;234.57655;235.15247;22.80301;23.291775;20.683334;121.94225;398.59772;78.40104;97.0;104.077065;0.8826953;0.049578253;-0.83311707;0.0
27.03.2024 01:50;5.6E-45;5.6E-45;1.1E-44;34.17869;27.30572;35.22346;35.15603;35.27939;105.658875;234.8585;234.27893;234.93565;22.808113;23.286797;20.675;122.387634;398.44513;78.281815;97.0;105.4046;0.39588133;0.29321182;-0.10266951;0.0
27.03.2024 01:55;5.6E-45;5.6E-45;1.1E-44;33.668144;26.87926;38.673664;38.615986;38.718216;116.007866;235.17805;234.61978;235.26512;22.792807;23.27684;20.633333;131.07503;398.48328;78.15319;97.0;117.00991;0.22275427;0.7765419;0.5537876;0.0
27.03.2024 02:00;5.6E-45;5.6E-45;1.1E-44;33.50712;26.75103;37.031845;36.97342;37.08;111.085266;234.86826;234.33281;234.92255;22.808113;23.27684;20.633333;126.64143;398.52142;78.02996;97.0;111.21517;0.4456142;0.43570918;-0.00990501;0.0
27.03.2024 02:05;5.6E-45;5.6E-45;1.1E-44;33.42144;26.723125;34.510693;34.405838;34.488686;103.40522;234.3862;234.05429;234.43463;22.792807;23.251919;20.641666;120.40713;398.52142;77.91215;97.0;103.3282;0.5197025;0.37215322;-0.14754927;0.0
27.03.2024 02:10;5.6E-45;5.6E-45;1.1E-44;33.456596;26.79592;37.717243;37.62202;37.725826;113.065094;238.02808;237.52809;238.16669;22.782593;23.251919;20.633333;128.59329;398.48328;77.786606;97.0;113.48469;0.39560977;0.51593363;0.12032387;0.0
27.03.2024 02:15;5.6E-45;5.6E-45;1.1E-44;33.483154;26.83728;43.422325;43.310917;43.398205;130.13145;238.15797;237.91933;238.30835;22.7877;23.186989;20.633333;142.87737;398.40698;77.64729;97.0;130.08603;0.39640248;0.36773208;-0.0286704;0.0
