Date;Pdc A [W];Pdc B [W];Pdc [W];Udc A [V];Udc B [V];Pac 1 [W];Pac 2 [W];Pac 3 [W];Pac [W];Uac 1 [V];Uac 2 [V];Uac 3 [V];Temp [°C];Temp2 [°C];Temp bat [°C];Pbat [W];Ubat [V];SOC [%];SOC targ [%];Pload [W];Pgrid feed [W];Pgrid load [W];Pgrid [W];Pext [W]
25.03.2024 01:30;5.6E-45;5.6E-45;1.1E-44;33.116005;26.425282;42.27929;42.177273;42.28039;126.73695;236.58975;236.29024;236.74397;22.813215;23.256908;21.641666;139.83795;394.97375;61.642532;97.0;127.7643;0.21688709;0.7425043;0.52561724;0.0
25.03.2024 01:35;5.6E-45;5.6E-45;1.1E-44;32.876778;26.266346;41.795853;41.690693;41.7817;125.26824;236.11043;235.89284;236.45058;22.818314;23.261894;21.625;138.38115;394.70673;61.504982;97.0;125.2787;0.62103397;0.45244828;-0.16858569;0.0
25.03.2024 01:40;5.6E-45;5.6E-45;1.1E-44;32.6125;26.09522;53.555172;53.427708;53.518112;160.50099;236.45209;235.95155;236.49913;22.797909;23.306698;21.608334;179.84537;394.24896;61.336784;97.0;160.3773;0.6445447;0.30229214;-0.34225258;0.0
25.03.2024 01:45;5.6E-45;5.6E-45;1.1E-44;33.035233;26.40938;44.192043;44.063255;44.14766;132.40295;237.34944;236.947;237.4344;22.797909;23.21199;21.591665;146.14735;394.89746;61.193012;97.0;132.5882;0.5991203;0.44227996;-0.15684035;0.0
25.03.2024 01:50;5.6E-45;5.6E-45;1.1E-44;32.69332;26.16979;42.59411;42.448624;42.53555;127.57828;237.10606;236.87656;237.22803;22.80301;23.256908;21.583332;140.80939;394.78302;61.053402;97.0;128.69557;0.17093536;0.5655021;0.39456674;0.0
25.03.2024 01:55;5.6E-45;5.6E-45;1.1E-44;32.99278;26.370644;43.938496;43.820568;43.914658;131.67372;236.81096;236.631;237.06622;22.777485;23.161955;21.566666;143.55614;394.5923;60.91065;97.0;131.9881;0.41373217;0.53540146;0.12166929;0.0
25.03.2024 02:00;5.6E-45;5.6E-45;1.1E-44;34.583073;27.709301;43.45859;43.35024;43.45389;130.26273;237.21262;236.96033;237.37512;22.7877;23.151936;21.55;142.59932;394.74487;60.768925;97.0;131.1968;0.357159;0.5516552;0.19449618;0.0
25.03.2024 02:05;5.6E-45;5.6E-45;1.1E-44;36.24673;29.114746;42.280922;42.169067;42.270176;126.72017;236.09514;236.00818;236.33502;22.777485;23.161955;21.533335;139.51552;394.516;60.630344;97.0;126.60373;0.60805655;0.56247234;-0.0455842;0.0
25.03.2024 02:10;5.6E-45;5.6E-45;1.1E-44;36.946293;29.67373;42.1902;42.104813;42.206715;126.501724;236.72922;236.59268;236.7224;22.772379;23.156948;21.508333;139.22581;394.66858;60.491974;97.0;125.94448;0.68424666;0.3072272;-0.37701946;0.0
25.03.2024 02:15;5.6E-45;5.6E-45;1.1E-44;34.62073;27.49866;42.716957;42.60543;42.686565;128.00896;236.98;236.9094;237.05515;22.751926;23.151936;21.483334;140.42467;394.5923;60.352356;97.0;126.05522;1.0532044;0.114501156;-0.93870324;0.0
25.03.2024 02:20;5.6E-45;5.6E-45;1.1E-44;34.665142;27.50626;43.232166;43.12934;43.213;129.57451;236.12167;235.69368;236.14067;22.757044;23.131876;21.466667;141.61021;394.40155;60.21131;97.0;128.74106;0.7637502;0.35077995;-0.41297024;0.0
25.03.2024 02:25;5.6E-45;5.6E-45;1.1E-44;33.664253;26.65575;43.486546;43.34634;43.41503;130.24792;236.05702;235.98865;236.31416;22.74681;23.121838;21.441668;142.40677;394.516;60.069637;97.0;130.28848;0.25085774;0.6304827;0.37962493;0.0
25.03.2024 02:30;5.6E-45;5.6E-45;1.1E-44;34.870068;27.534952;42.78511;42.635796;42.723206;128.1441;236.08345;235.97745;236.2063;22.741695;23.121838;21.383333;141.00928;394.55414;59.929382;97.0;129.45207;0.112228826;1.0957092;0.9834804;0.0
25.03.2024 02:35;5.6E-45;5.6E-45;1.1E-44;34.320988;27.01676;42.934914;42.82498;42.91464;128.67453;235.93785;235.92474;236.21922;22.757044;23.121838;21.366665;141.33762;394.3634;59.788822;97.0;128.95566;0.5031043;0.54455626;0.04145193;0.0
25.03.2024 02:40;5.6E-45;5.6E-45;1.1E-44;32.851665;25.88523;44.511715;44.40904;44.515873;133.43663;236.00208;235.9331;236.10545;22.726336;23.081642;21.35;144.6253;394.55414;59.644627;97.0;133.12863;0.6029786;0.41360056;-0.18937802;0.0
25.03.2024 02:45;5.6E-45;5.6E-45;1.1E-44;31.725805;24.98679;46.48046;46.35156;46.43391;139.26593;236.44939;236.15666;236.47589;22.721214;23.046398;21.291666;149.10066;394.4397;59.495342;97.0;139.3682;0.23023875;0.98101217;0.75077343;0.0
25.03.2024 02:50;5.6E-45;5.6E-45;1.1E-44;33.48926;26.399961;47.89126;47.796074;47.89802;143.58536;236.8592;236.64113;236.81424;22.721214;23.01109;21.250002;151.75644;394.3634;59.343063;97.0;144.4531;0.47622234;0.61690384;0.1406815;0.0
25.03.2024 02:55;5.6E-45;5.6E-45;1.1E-44;33.557755;26.464949;50.11696;50.03506;50.11869;150.27072;236.5814;236.35815;236.67067;22.690449;22.98583;21.241667;157.55725;394.13452;59.18471;97.0;150.22336;0.55597824;0.48156658;-0.07441166;0.0
25.03.2024 03:00;5.6E-45;5.6E-45;1.1E-44;31.941084;25.14439;51.978035;51.86498;51.93925;155.78227;236.73405;236.3388;236.89198;22.675053;22.950417;21.216665;161.82368;394.24896;59.021862;97.0;155.69821;0.53258955;0.47354853;-0.059041023;0.0
25.03.2024 03:05;5.6E-45;5.6E-45;1.1E-44;30.401192;23.86296;57.47376;57.358177;57.43663;172.26857;236.11005;235.6754;236.19878;22.680183;22.955479;21.2;181.62137;393.82935;58.844494;97.0;172.24889;0.572473;0.6238423;0.05136931;0.0
25.03.2024 03:10;5.6E-45;5.6E-45;1.1E-44;31.349102;24.812338;80.83875;80.70601;80.78605;242.33081;236.1545;235.92848;236.29944;22.669916;23.06654;21.149998;272.049;393.75305;58.60478;97.0;243.09224;0.37655908;0.6213067;0.24474764;0.0
