(rct) ~/SAPDevelop/git/prv/rct-reader> python pv_reader.py --host HF-A21.fritz.box --listen-only 
Listening to inverter port

11:40:49: Response g_sync.p_ac_sum_lp (3677186478): value: 243.91140747070312, type: 9
11:40:49: Response battery.ah_capacity (3044759997): value: 25.0, type: 9
11:40:49: Response battery.current (563485528): value: -6.749000549316406, type: 9
11:40:49: Response acc_conv.i_acc_lp_fast (184407759): value: -6.692144393920898, type: 9
11:40:49: Response battery.cycles (3235850616): value: 13, type: 7
11:40:49: Response db.temp2 (1332960528): value: 32.8687858581543, type: 9
11:40:49: Response battery.maximum_discharge_current (3742004060): value: 24.999982833862305, type: 9
11:40:49: Response battery.maximum_charge_current (509594224): value: 24.999977111816406, type: 9
11:40:49: Response battery.soh (941329401): value: 1.0, type: 9
11:40:56: Response battery.stored_energy (1433419803): value: 156792.328125, type: 9
11:40:56: Response battery.used_energy (2835560576): value: 144274.25, type: 9
11:40:56: Response battery.voltage (1710149915): value: 405.6449890136719, type: 9
11:40:56: Response battery.bms_software_version (2641911436): value: 5597, type: 6
11:40:56: Response battery.bms_sn (379713604): value: 0180A714022419, type: 10
11:40:56: Response g_sync.p_acc_lp (1074725211): value: -2742.564697265625, type: 9
11:40:56: Response battery.soc (2509844671): value: 0.8260841965675354, type: 9
11:40:56: Response battery.temperature (2418735867): value: 28.208332061767578, type: 9
11:40:56: Response dc_conv.dc_conv_struct[0].u_sg_lp (2996320605): value: 477.3917541503906, type: 9
11:40:56: Response dc_conv.dc_conv_struct[1].u_sg_lp (1538787162): value: 471.69586181640625, type: 9
11:40:56: Response dc_conv.dc_conv_struct[0].p_dc_lp (3675358555): value: 1487.398681640625, type: 9
11:40:56: Response dc_conv.dc_conv_struct[1].p_dc_lp (213242395): value: 1527.3427734375, type: 9
11:40:56: Response energy.e_ext_total (2778498088): value: 0.0, type: 9
11:40:56: Response fault[0].flt (939120074): value: 0, type: 6
11:40:56: Response fault[1].flt (592135990): value: 0, type: 6
11:40:56: Response fault[2].flt (998231367): value: 0, type: 6
11:40:56: Response fault[3].flt (2139176307): value: 0, type: 6
11:40:56: Response buf_v_control.power_reduction_max_solar_grid (4101225566): value: 9880.0, type: 9
11:40:56: Response energy.e_grid_feed_total (1154794803): value: -613794.75, type: 9
11:40:56: Response energy.e_grid_load_total (1660676060): value: 17236.90625, type: 9
11:40:56: Response g_sync.p_ac_load_sum_lp (449346208): value: 241.47494506835938, type: 9
11:40:56: Response energy.e_load_total (4025791799): value: 244719.125, type: 9
11:40:56: Response g_sync.i_dr_eff[0] (2314092213): value: 0.35609906911849976, type: 9
11:40:56: Response g_sync.i_dr_eff[1] (1695293143): value: 0.3632824122905731, type: 9
11:40:56: Response g_sync.i_dr_eff[2] (2461820971): value: 0.3688497543334961, type: 9
11:40:56: Response g_sync.u_l_rms[0] (3473223813): value: 237.57664489746094, type: 9
11:40:56: Response g_sync.u_l_rms[1] (1421109326): value: 236.601806640625, type: 9
11:40:56: Response g_sync.u_l_rms[2] (625336877): value: 237.1925048828125, type: 9
11:40:56: Response g_sync.p_ac_grid_sum_lp (2439085144): value: 0.7289751768112183, type: 9
11:40:56: Response grid_pll[0].f (474637919): value: 49.96248245239258, type: 9
11:40:56: Response energy.e_dc_total[0] (4235348638): value: 433450.6875, type: 9
11:40:56: Response energy.e_dc_total[1] (1760492861): value: 446037.78125, type: 9
11:40:56: Response energy.e_ac_total (2985256910): value: 841294.9375, type: 9
11:40:56: Response io_board.s0_external_power (3916372036): value: 0.0, type: 9
11:40:56: Response energy.e_ac_day (3176501343): value: 1611.869140625, type: 9
11:40:56: Response battery.stack_software_version[0] (1669879148): value: 5597, type: 6
11:40:56: Response battery.stack_software_version[1] (2773239429): value: 5597, type: 6
11:40:56: Response battery.stack_software_version[2] (3367638825): value: 5597, type: 6
11:40:56: Response battery.stack_software_version[3] (141325744): value: 5597, type: 6
11:40:56: Response battery.stack_software_version[4] (2752054975): value: 5597, type: 6
11:40:56: Response battery.stack_software_version[5] (4003722651): value: 0, type: 6
11:40:56: Response battery.stack_software_version[6] (1769240970): value: 0, type: 6
11:40:56: Response energy.e_dc_day[0] (719782898): value: 4690.45361328125, type: 9
11:40:56: Response energy.e_dc_day[1] (4227059351): value: 4749.4765625, type: 9
11:40:56: Response energy.e_ext_day (3114280697): value: 0.0, type: 9
11:40:56: Response energy.e_grid_feed_day (1015530741): value: -262.8846740722656, type: 9
11:40:56: Response energy.e_grid_load_day (2256400253): value: 1300.9332275390625, type: 9
11:40:56: Response energy.e_load_day (792468861): value: 2649.99951171875, type: 9
11:40:56: Response prim_sm.island_flag (908318762): value: 2, type: 4


11:41:19: Response inverter_sn (2032446425): value: 0065B402017939, type: 10
11:41:20: Response buf_v_control.power_reduction_max_solar (1270937972): value: 9880.0, type: 9
11:41:20: Response g_sync.p_ac_lp[0] (1910573905): value: 84.14825439453125, type: 9
11:41:20: Response g_sync.p_ac_lp[1] (1847352184): value: 83.78506469726562, type: 9
11:41:20: Response g_sync.p_ac_lp[2] (3113389137): value: 84.08863067626953, type: 9
11:41:20: Response g_sync.u_zk_sum_mov_avg (605358981): value: 767.19384765625, type: 9
11:41:20: Response g_sync.p_ac_sum_lp (3677186478): value: 252.02197265625, type: 9
11:41:20: Response battery.ah_capacity (3044759997): value: 25.0, type: 9
11:41:20: Response battery.current (563485528): value: -6.37000036239624, type: 9
11:41:20: Response acc_conv.i_acc_lp_fast (184407759): value: -6.327230453491211, type: 9
11:41:20: Response battery.cycles (3235850616): value: 13, type: 7
11:41:20: Response db.temp2 (1332960528): value: 32.82499313354492, type: 9
11:41:20: Response battery.maximum_discharge_current (3742004060): value: 24.999982833862305, type: 9
11:41:20: Response battery.maximum_charge_current (509594224): value: 24.999977111816406, type: 9
11:41:20: Response battery.soh (941329401): value: 1.0, type: 9
11:41:27: Response battery.stored_energy (1433419803): value: 156815.765625, type: 9
11:41:27: Response battery.used_energy (2835560576): value: 144274.25, type: 9
11:41:27: Response battery.voltage (1710149915): value: 405.4150085449219, type: 9
11:41:27: Response battery.bms_software_version (2641911436): value: 5597, type: 6
11:41:27: Response battery.bms_sn (379713604): value: 0180A714022419, type: 10
11:41:27: Response g_sync.p_acc_lp (1074725211): value: -2573.590576171875, type: 9
11:41:27: Response battery.soc (2509844671): value: 0.828319251537323, type: 9
11:41:27: Response battery.temperature (2418735867): value: 28.191665649414062, type: 9
11:41:27: Response dc_conv.dc_conv_struct[0].u_sg_lp (2996320605): value: 477.1304931640625, type: 9
11:41:27: Response dc_conv.dc_conv_struct[1].u_sg_lp (1538787162): value: 471.4644470214844, type: 9
11:41:27: Response dc_conv.dc_conv_struct[0].p_dc_lp (3675358555): value: 1415.9625244140625, type: 9
11:41:27: Response dc_conv.dc_conv_struct[1].p_dc_lp (213242395): value: 1456.4224853515625, type: 9
11:41:27: Response energy.e_ext_total (2778498088): value: 0.0, type: 9
11:41:27: Response fault[0].flt (939120074): value: 0, type: 6
11:41:27: Response fault[1].flt (592135990): value: 0, type: 6
11:41:27: Response fault[2].flt (998231367): value: 0, type: 6
11:41:27: Response fault[3].flt (2139176307): value: 0, type: 6
11:41:27: Response buf_v_control.power_reduction_max_solar_grid (4101225566): value: 9880.0, type: 9
11:41:27: Response energy.e_grid_feed_total (1154794803): value: -613794.8125, type: 9
